Modelo;Configuracao;MSE_TRAIN_mean;MSE_TRAIN_std;RMSE_TRAIN_mean;RMSE_TRAIN_std;MAE_TRAIN_mean;MAE_TRAIN_std;CSI_TRAIN_mean;CSI_TRAIN_std;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;CSI_mean;CSI_std;Tempo_treinamento_mean;Tempo_treinamento_std
ARIMA;Padrão;89,807;0,000;9,477;0,000;4,499;0,000;0,258;0,000;175,733;0,000;13,256;0,000;7,341;0,000;0,200;0,000;1734894458,627;12787,654
BILSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;2,747;3,163;1,503;0,736;0,559;0,252;0,778;0,091;202,590;36,441;14,179;1,309;7,294;0,918;0,196;0,071;6,515;0,005
BILSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;1,039;0,882;0,966;0,341;0,327;0,067;0,887;0,028;195,272;40,078;13,905;1,466;6,961;0,980;0,184;0,048;14,116;0,998
BILSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;17,179;1,790;4,140;0,214;1,837;0,135;0,383;0,017;179,817;65,373;13,208;2,439;6,440;1,749;0,237;0,074;4,105;0,010
BILSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;3,963;1,458;1,964;0,346;0,839;0,147;0,611;0,044;162,815;42,205;12,666;1,632;6,262;1,116;0,219;0,056;4,553;0,004
LSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;0,392;0,302;0,585;0,235;0,232;0,097;0,917;0,051;174,657;28,605;13,174;1,101;7,205;0,889;0,214;0,042;5,010;0,005
LSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;0,381;0,449;0,544;0,309;0,210;0,129;0,916;0,069;169,805;30,951;12,977;1,250;6,261;0,918;0,205;0,065;9,928;0,923
LSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;8,585;6,244;2,792;0,936;1,358;0,446;0,450;0,062;205,042;75,293;14,086;2,714;7,546;1,582;0,181;0,045;3,877;0,008
LSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;3,670;4,842;1,631;1,059;0,698;0,467;0,714;0,163;158,128;39,620;12,480;1,628;6,299;1,094;0,193;0,052;4,026;0,003
RF;Padrão;56,855;0,000;7,540;0,000;3,416;0,000;0,322;0,000;166,265;0,000;12,894;0,000;7,674;0,000;0,200;0,000;1,046;0,018
