Modelo;Configuracao;MSE_TRAIN_mean;MSE_TRAIN_std;RMSE_TRAIN_mean;RMSE_TRAIN_std;MAE_TRAIN_mean;MAE_TRAIN_std;CSI_TRAIN_mean;CSI_TRAIN_std;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;CSI_mean;CSI_std;Tempo_treinamento_mean;Tempo_treinamento_std
ARIMA;Padrão;45,852;0,000;6,771;0,000;3,486;0,000;0,273;0,000;9,023;0,000;3,004;0,000;2,576;0,000;0,200;0,000;1734958198,845;20096,583
BILSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;0,529;0,116;0,723;0,078;0,322;0,032;0,859;0,025;14,813;6,770;3,764;0,846;1,852;0,481;0,134;0,065;10,297;2,338
BILSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;0,398;0,125;0,624;0,099;0,260;0,044;0,894;0,024;23,886;31,745;4,342;2,365;2,046;0,756;0,094;0,078;20,001;7,654
BILSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;8,185;2,234;2,840;0,364;1,390;0,177;0,446;0,018;14,137;7,915;3,657;0,922;1,963;0,455;0,099;0,063;7,488;1,591
BILSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;1,906;0,335;1,376;0,123;0,653;0,058;0,667;0,026;10,925;2,087;3,291;0,322;1,691;0,223;0,098;0,077;8,242;2,287
LSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;0,258;0,229;0,468;0,208;0,216;0,086;0,917;0,046;15,774;9,870;3,831;1,103;2,102;0,600;0,119;0,075;7,279;2,038
LSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;0,076;0,065;0,259;0,100;0,116;0,033;0,960;0,017;11,862;3,636;3,411;0,503;1,832;0,307;0,162;0,098;13,294;4,971
LSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;6,208;3,775;2,405;0,687;1,247;0,347;0,469;0,048;48,189;73,364;5,942;3,783;3,025;1,647;0,165;0,049;6,932;1,562
LSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;0,404;0,343;0,605;0,206;0,324;0,105;0,855;0,062;18,011;8,818;4,132;1,021;2,427;0,591;0,120;0,078;6,826;1,732
RF;Padrão;26,634;0,000;5,161;0,000;2,550;0,000;0,369;0,000;9,241;0,000;3,040;0,000;1,990;0,000;0,190;0,000;3,257;2,520
