timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue,cloud_provider,cloud_region,iteracao_ref
2025-11-29T17:06:22,Exec0_RF_BRDWGD,453e6a2d-e1b7-416d-a538-06e2c9ffee29,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,75.9460684149526,0.0001806605932199,2.378801128096137e-06,48.812554150100006,32.25175565873559,10.0,0.0009584506345401,0.0006745419285216,0.000203959822548,0.0018369523856098,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,0
2025-11-29T17:54:10,Exec1_RF_BRDWGD,cb528e67-5b62-4ee0-8746-a6e34fac49aa,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,135.1225471131038,0.0002752056053568,2.0367112020656176e-06,6.5757591965,29.42292198206796,10.0,0.0012416915251119,0.0011957156787936,0.0003608764963923,0.0027982837002978,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,1
2025-11-29T18:40:59,Exec2_RF_BRDWGD,55c0f74a-3c21-4e53-ae4e-309c0cd36155,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,105.7305033269804,0.0002200312411719,2.081057350984497e-06,6.629218151214286,32.13598506314586,10.0,0.0010113171850921,0.0009424207539332,0.0002835342085719,0.0022372721475973,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,2
2025-11-29T19:40:58,Exec3_RF_BRDWGD,9e83236f-825d-4dab-a096-5b6692b0bc69,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,914.8179318599869,0.0015301075568361,1.6725815088966923e-06,27.7849593155,32.21622323937342,10.0,0.0042625547699046,0.0081795962658937,0.0033146618300143,0.0155580953027629,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,3
2025-11-29T20:56:40,Exec4_RF_BRDWGD,243f7b7b-4e26-45a6-ab20-aa502aca895d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,77.42883853195235,0.0001870944073367,2.416340098650926e-06,6.500789750000001,30.66799974953497,10.0,0.0010064135238656,0.000689263329189,0.0002066943933023,0.001902371246357,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,4
2025-11-29T21:39:00,Exec5_RF_BRDWGD,d719f238-1514-4b68-8a9b-5d2e87a236c7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,59.63306017615832,0.0001655075456544,2.7754327073862177e-06,52.91710702432143,32.4781516133236,10.0,0.0009907422610186,0.0005320765367677,0.0001600577798199,0.0016828765776064,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,5
2025-11-29T22:20:39,Exec6_RF_BRDWGD,e74e4007-72dd-47fc-b14d-e0a1e0b4787c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,59.97574460087344,0.0001657451223307,2.763535883277311e-06,51.70182014353572,32.16344076044038,10.0,0.0009903616177419,0.0005339248715792,0.0001610057619781,0.0016852922512993,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,6
2025-11-29T23:02:13,Exec7_RF_BRDWGD,d66e2112-3eb9-44e1-9b6e-ede68f3b3f2a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,59.647897062124684,0.0001648675609125,2.764012966640799e-06,52.04165819310714,32.23118101751249,10.0,0.0009858546114723,0.0005304118132158,0.0001601028040969,0.0016763692287852,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,7
2025-11-29T23:43:55,Exec8_RF_BRDWGD,dd42051c-4aee-4754-b8bd-70fae8eed027,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,59.53799190488644,0.0001654388195586,2.778710101996566e-06,53.89219725917857,32.26727377861469,10.0,0.000992729546139,0.0005296518126094,0.0001597964136382,0.0016821777723868,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,8
2025-11-30T00:26:17,Exec9_RF_BRDWGD,9965630f-6694-4364-b038-ab97bf63da3d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,59.58010567910969,0.000165837512907,2.7834377098998884e-06,54.35371761114286,32.41446068815191,10.0,0.0009947849971514,0.0005315568141313,0.0001598898650813,0.001686231676364,0.0,Brazil,BRA,rio de janeiro,Linux-5.15.0-153-generic-x86_64-with-glibc2.35,3.10.12,3.1.1,16.0,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz,1.0,1 x NVIDIA GeForce RTX 3060,-43.1054,-22.8896,15.352027893066406,machine,N,1.0,0.0,,,9
