Modelo;Configuracao;MSE_TRAIN_mean;MSE_TRAIN_std;RMSE_TRAIN_mean;RMSE_TRAIN_std;MAE_TRAIN_mean;MAE_TRAIN_std;CSI_TRAIN_mean;CSI_TRAIN_std;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;CSI_mean;CSI_std;Tempo_treinamento_mean;Tempo_treinamento_std
ARIMA;Padrão;89,973;0,000;9,485;0,000;4,514;0,000;0,259;0,000;178,450;0,000;13,359;0,000;7,410;0,000;0,200;0,000;0,737;0,124
BiLSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;104,275;2,245;10,211;0,110;3,309;0,050;0,099;0,014;211,048;4,363;14,527;0,149;5,762;0,289;0,000;0,000;4,197;1,625
BiLSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;104,242;2,479;10,209;0,122;3,306;0,073;0,105;0,011;210,621;6,287;14,511;0,213;5,661;0,234;0,000;0,000;7,122;0,052
BiLSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;107,561;4,407;10,369;0,213;3,341;0,084;0,091;0,013;215,301;11,954;14,668;0,399;5,914;0,433;0,009;0,029;4,295;2,406
BiLSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;103,726;2,135;10,184;0,105;3,266;0,064;0,092;0,013;210,209;3,201;14,498;0,110;5,717;0,253;0,000;0,000;4,212;1,879
LSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;109,780;5,450;10,475;0,260;3,383;0,127;0,085;0,010;218,669;11,367;14,783;0,381;6,202;0,618;0,000;0,000;3,154;1,290
LSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;106,428;4,795;10,314;0,232;3,310;0,114;0,080;0,017;209,271;1,616;14,466;0,056;5,679;0,130;0,000;0,000;4,478;0,114
LSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;107,071;3,752;10,346;0,180;3,354;0,105;0,085;0,015;218,987;21,436;14,784;0,687;6,072;0,486;0,017;0,037;3,300;1,511
LSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;108,596;5,078;10,418;0,242;3,388;0,118;0,084;0,021;212,897;5,483;14,590;0,188;5,915;0,340;0,009;0,029;3,264;1,645
RANDOM_FOREST;Padrão;56,855;0,000;7,540;0,000;3,416;0,000;0,322;0,000;166,265;0,000;12,894;0,000;7,674;0,000;0,200;0,000;2,570;4,434
