Modelo;Configuracao;MSE_TRAIN_mean;MSE_TRAIN_std;RMSE_TRAIN_mean;RMSE_TRAIN_std;MAE_TRAIN_mean;MAE_TRAIN_std;CSI_TRAIN_mean;CSI_TRAIN_std;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;CSI_mean;CSI_std;Tempo_treinamento_mean;Tempo_treinamento_std
ARIMA;Padrão;45,879;0,000;6,773;0,000;3,488;0,000;0,272;0,000;9,107;0,000;3,018;0,000;2,591;0,000;0,200;0,000;1,430;0,107
BiLSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;59,693;5,201;7,719;0,338;2,941;0,135;0,112;0,012;11,346;2,459;3,354;0,327;1,520;0,166;0,114;0,042;6,314;0,085
BiLSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;56,520;4,554;7,513;0,299;2,845;0,139;0,121;0,011;10,870;0,889;3,295;0,129;1,499;0,093;0,123;0,010;12,310;0,088
BiLSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;56,727;3,206;7,529;0,213;2,827;0,096;0,106;0,011;10,464;0,091;3,235;0,014;1,449;0,027;0,134;0,009;6,164;0,042
BiLSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;59,589;4,526;7,714;0,293;2,915;0,132;0,108;0,010;10,541;0,360;3,246;0,054;1,441;0,072;0,141;0,020;6,131;0,053
LSTM;LB=30_HD=128_LD=2_LR=0.001_DR=0.5;69,056;5,911;8,303;0,368;3,236;0,207;0,110;0,010;10,688;0,396;3,269;0,060;1,477;0,085;0,115;0,061;4,738;0,047
LSTM;LB=30_HD=256_LD=2_LR=0.001_DR=0.5;67,880;7,017;8,229;0,436;3,186;0,246;0,108;0,010;10,707;0,636;3,271;0,096;1,492;0,105;0,110;0,059;7,742;0,058
LSTM;LB=30_HD=32_LD=2_LR=0.001_DR=0.5;59,730;2,413;7,727;0,157;2,951;0,093;0,111;0,009;10,446;0,103;3,232;0,016;1,454;0,057;0,138;0,009;4,746;0,078
LSTM;LB=30_HD=64_LD=2_LR=0.001_DR=0.5;64,747;3,949;8,043;0,245;3,094;0,129;0,110;0,006;10,345;0,155;3,216;0,024;1,417;0,044;0,133;0,048;4,706;0,089
RANDOM_FOREST;Padrão;26,634;0,000;5,161;0,000;2,550;0,000;0,369;0,000;9,241;0,000;3,040;0,000;1,990;0,000;0,190;0,000;2,169;0,745
